Dates;Air_Relat_Hum;Air_Temp;Wind_Dir;Solar_Rad;Wind_Speed;Rain
2025-03-18 04:52:09.826;83;10.04;77;6;2;0
2025-03-18 05:51:41.505;92;8.69;54;5;0;0
2025-03-18 06:51:15.036;92;8.64;52;3;7;0
2025-03-18 07:50:52.882;92;8.82;55;2;6;0
2025-03-18 08:50:31.363;92;9.13;47;6;9;0
2025-03-18 09:50:16.231;92;9.72;53;1;7;0
2025-03-18 10:50:02.639;89;11.28;48;7;5;0
2025-03-18 11:49:32.434;83;12.44;60;0;13;0
2025-03-18 12:48:50.278;86;10.51;41;4;14;0
2025-03-18 13:48:34.631;78;11.92;61;0;6;0
2025-03-18 14:48:09.083;74;11.92;77;0;14;0
2025-03-18 15:48:02.270;67;13.25;51;0;4;0
2025-03-18 16:47:33.258;87;10.95;65;4;8;0
2025-03-18 17:47:15.412;88;11.14;51;0;2;0
2025-03-18 18:47:04.799;86;11.79;338;0;0;0
2025-03-18 19:46:39.279;91;10.85;339;6;0;0
2025-03-18 20:46:15.671;92;10.36;39;8;2;0
2025-03-18 21:45:52.357;92;9.73;62;8;0;0
2025-03-18 22:45:30.141;94;8.94;62;8;0;0
2025-03-18 23:45:05.984;95;8.34;62;8;0;0
2025-03-19 00:44:36.702;95;6.94;62;8;0;0
2025-03-19 01:44:07.237;95;6.09;62;8;0;0
2025-03-19 02:43:49.670;96;6.640000000000001;62;7;0;0
2025-03-19 03:43:30.489;96;6.6000000000000005;276;6;2;0
2025-03-19 04:43:08.851;96;6.42;276;6;1;0
2025-03-19 05:42:48.292;97;6.0;278;6;2;0
2025-03-19 06:42:19.966;96;5.42;278;6;1;0
2025-03-19 07:41:49.004;97;4.6000000000000005;16;7;0;0
2025-03-19 08:41:46.144;97;6.95;273;0;2;0
2025-03-19 09:41:41.457;78;11.17;180;0;7;0
2025-03-19 10:41:31.976;69;13.32;251;0;8;0
2025-03-19 11:41:12.145;60;14.47;272;0;8;0
2025-03-19 12:40:51.504;57;15.26;265;0;1;0
2025-03-19 13:40:35.139;52;16.41;160;0;2;0
2025-03-19 14:40:16.035;49;17.64;94;0;3;0
2025-03-19 15:40:06.844;45;18.84;224;0;9;0
2025-03-19 16:39:38.535;43;18.57;81;0;7;0
2025-03-19 17:39:10.165;46;17.88;29;0;3;0
2025-03-19 18:38:40.975;52;16.82;153;0;3;0
2025-03-19 19:38:09.134;66;14.0;104;0;12;0
2025-03-19 20:37:43.891;64;13.2;117;0;14;0
2025-03-19 21:37:21.362;68;12.31;125;0;9;0
2025-03-19 22:36:55.662;66;12.34;239;0;12;0
2025-03-19 23:36:35.789;66;12.47;243;0;18;0
2025-03-20 00:36:12.495;66;12.5;197;0;18;0
2025-03-20 01:35:44.641;71;11.76;229;0;13;0
2025-03-20 02:35:18.538;73;11.36;244;0;5;0
2025-03-20 03:34:58.963;71;11.66;182;0;15;0
2025-03-20 04:34:33.638;73;11.07;247;0;12;0
2025-03-20 05:34:05.196;78;9.91;289;0;8;0
